program_id,parent_program_id,short_title,title,long_title,variants,school_id,diploma,field,city
P1440,P1437,Licence Génie Civil — anglais,Licence Génie Civil — anglais,,"{""language"": ""anglais""}",S20,Licence,Génie Civil,Strasbourg
P1372,,Diplôme d'ingénieur Logistique,Diplôme d'ingénieur Logistique,,,S35,Diplôme d'ingénieur,Logistique,Paris
P1491,,DN MADE Logistique,DN MADE Logistique,,,S31,DN MADE,Logistique,Nantes
P1852,P1848,BTS Ressources Humaines — IT,BTS Ressources Humaines — IT,,"{""language"": ""IT""}",S13,BTS,Ressources Humaines,Paris
P1479,P1476,BUT Génie Civil — English / Recherche,BUT Génie Civil — English / Recherche,,"{""language"": ""English"", ""track"": ""recherche""}",S18,BUT,Génie Civil,Lyon
P1140,P1138,CPGE Biologie — en / Alternance,CPGE Biologie — en / Alternance,,"{""language"": ""en"", ""apprenticeship"": ""oui"", ""school_id"": ""S23""}",S23,CPGE,Biologie,Lille
P1253,,BUT Économie,BUT Économie,,,S13,BUT,Économie,Paris
P1434,,Licence Génie Mécanique,Licence Génie Mécanique,,,S17,Licence,Génie Mécanique,Lyon
P1689,,MSc Tourisme,MSc Tourisme,,,S14,MSc,Tourisme,Strasbourg
P1345,P1342,Licence Pro Biologie — anglais / Reche,Licence Pro Biologie — anglais / Recherche,,"{""language"": ""anglais"", ""track"": ""recherche""}",S30,Licence Pro,Biologie,Rennes
P1218,P1217,Diplôme d'ingénieur Informatique — Alt,Diplôme d'ingénieur Informatique — Alternance / Data,,"{""apprenticeship"": 1, ""track"": ""data""}",S14,Diplôme d'ingénieur,Informatique,Strasbourg
P1743,P1742,Licence Pro Ressources Humaines — Camp,Licence Pro Ressources Humaines — Campus,,"{""school_id"": ""S34""}",S34,Licence Pro,Ressources Humaines,Paris
P1833,P1832,DN MADE Data Science — Recherche,DN MADE Data Science — Recherche,,"{""track"": ""recherche""}",S22,DN MADE,Data Science,Strasbourg
P1797,P1796,Diplôme d'ingénieur Commerce — Double-,Diplôme d'ingénieur Commerce — Double-Diplôme,,"{""track"": ""double-diplôme""}",S16,Diplôme d'ingénieur,Commerce,Grenoble
P1119,,Master Langues,Master Langues ,,,S17,Master,Langues,Lyon
P1173,,BTS Économie,BTS Économie,,,S30,BTS,Économie,Rennes
P1529,,Diplôme d'ingenieur Design,Diplôme d'ingénieur Design ,,,S32,Diplôme d'ingénieur,Design,Toulouse
P1272,P1271,MBA Biologie - Alternance,MBA BIOLOGIE — ALTERNANCE,,"{""apprenticeship"": ""oui""}",S18,MBA,Biologie,Lyon
P1502,P1501,Licence Pro Économie — Alternance,Licence Pro Économie — Alternance,,"{""apprenticeship"": ""true""}",S24,Licence Pro,Économie,Strasbourg
P1097,P1094,Diplôme d'ingénieur Psychologie — IT /,Diplôme d'ingénieur Psychologie — IT / Alternance,,"{""language"": ""IT"", ""apprenticeship"": ""true"", ""school_id"": ""S23""}",S23,Diplôme d'ingénieur,Psychologie,Lille
P1834,P1832,DN MADE Data Science — IT,DN MADE Data Science — IT,,"{""language"": ""IT""}",S22,DN MADE,Data Science,Strasbourg
P1730,P1729,Bachelor Informatique — IT / Data,Bachelor Informatique — IT / Data,,"{""language"": ""IT"", ""track"": ""data"", ""school_id"": ""S36""}",S36,Bachelor,Informatique,Paris
P1841,P1840,BTS Design — EN / Alternance,BTS Design — EN / Alternance,,"{""language"": ""EN"", ""apprenticeship"": ""oui""}",S30,BTS,Design,Rennes
